id,patient,sampling,place,sample_type,ct_16S,ct_ACTB,delta,reads_in,reads_out,pct_microbial,qbit_1,run,instrument
CO2,NA,NA,NA,lung_sputum,17.54,23.39,5.85,115318648,19390546,16.81475315,12.8,NA,Illumina NovaSeq 6000
CO6,NA,NA,NA,lung_sputum,17.97,17.82,-0.15,88658418,1233637,1.391449371,6.42,NA,Illumina NovaSeq 6001
CO7,NA,NA,NA,lung_sputum,18.91,24.23,5.32,94111239,944504,1.003603831,2.41,NA,Illumina NovaSeq 6002
CO12,NA,NA,NA,lung_sputum,16.53,23.71,7.18,106487461,17064472,16.02486512,9.61,NA,Illumina NovaSeq 6003
CO13,NA,NA,NA,lung_sputum,17.8,22.22,4.42,128038066,12729976,9.942336992,19.4,NA,Illumina NovaSeq 6004
CO15,NA,NA,NA,lung_sputum,21.55,26.23,4.68,79810564,2873564,3.600480758,1.03,NA,Illumina NovaSeq 6005
CO21,NA,NA,NA,lung_sputum,16.06,23.18,7.12,72181406,5809366,8.048286009,1.97,NA,Illumina NovaSeq 6006
CO23,NA,NA,NA,lung_sputum,19.4,24.73,5.33,113351223,7343477,6.478515896,12.2,NA,Illumina NovaSeq 6007
CO27,NA,NA,NA,lung_sputum,16.16,22.73,6.57,101185846,1600765,1.582004859,2.19,NA,Illumina NovaSeq 6008
CO33,NA,NA,NA,lung_sputum,19.38,21.77,2.39,87457941,1111627,1.271041814,15,NA,Illumina NovaSeq 6009
CO34,NA,NA,NA,lung_sputum,20.33,23.85,3.52,109282828,3172181,2.902725943,33.6,NA,Illumina NovaSeq 6010
CO36,NA,NA,NA,lung_sputum,19.93,21.98,2.05,142655066,3678106,2.578321334,20.8,NA,Illumina NovaSeq 6011
CO39,NA,NA,NA,lung_sputum,20.55,23.8,3.25,95671569,5528416,5.778535941,7.1,NA,Illumina NovaSeq 6012
